TABLE VIDS
F VIDS S 2 0 2
F VIDS_txt C 30 0 2
D 0;"Няма данни"
D 1;"Държавна публична"
D 2;"Държавна частна"
D 3;"Общинска публична"
D 4;"Общинска частна"
D 5;"Частна"
D 6;"Частна кооперативна"
D 7;"Частна обществени организации"
D 8;"Частна чужди физически и юридически лица"
D 9;"Частна международни организации"
D 10;"Частна религиозни организации"
D 11;"Съсобственост   "
D 12;"Изключителна държавна собственост"
D 97;"стопанисвана от държавата по чл.14а от ЗВСГЗГФ"
D 98;"държавна собственост по чл.6 от ЗВСГЗГФ"
D 99;"Стопанисвано от общината"
END_TABLE

TABLE VIDT
F VIDT S 1 0 2
F VIDT_txt  C 30 0 2
D 1;Урбанизирана територия
D 2;Територия на транспорта 
D 3;Земеделска територия
D 4;Горска територия
D 5;Територия, заета от води и водни обекти
D 6;Защитена територия
D 7;Нарушена територия
END_TABLE

TABLE NTP
F NTP S 4 0 2
F NTP_txt C 50 0 2
D 1000;Ниско застрояване (до 10 m)
D 1010;Средно застрояване (от 10 до 15 m)
D 1020;Високо застрояване (над 15 m) 
D 1030;Комплексно застрояване 
D 1040;Незастроен имот за жилищни нужди
D 1050;За друг вид застрояване
D 1100;За обект комплекс за здравеопазване
D 1110;За обект комплекс за образование 
D 1120;За обект комплекс за култура и изкуство
D 1130;За обект комплекс за социални грижи
D 1140;За административна сграда, комплекс
D 1150;За обект за детско заведение
D 1160;За търговски обект, комплекс
D 1170;За обект комплекс за битови услуги 
D 1180;За обект комплекс за научна и проектантска дейност
D 1190;За култова, религиозна сграда, комплекс
D 1200;Незастроен имот за обществена сграда, комплекс
D 1210;За друг обществен обект, комплекс
D 1300;Oбществен селищен парк, градина
D 1310;Oбществен извънселищен парк, горски парк 
D 1320;Дендрариум
D 1330;Ботаническа градина
D 1340;Зоологическа градина
D 1350;Гробищен парк  
D 1360;За защитно и изолационно озеленяване
D 1370;За друг вид озеленени площи
D 1400;Стадион
D 1410;За спортна зала
D 1420;Спортно игрище
D 1430;За трасета за вело- и мотоспорт
D 1440;Ски писта
D 1450;За съоръжения за зимни спортове 
D 1460;За ловна база и стрелбище
D 1470;За водна спортна база
D 1480;За плувен басейн
D 1490;Незастроен имот за спортен обект
D 1500;За други видове спорт 
D 1600;За вилна сграда
D 1610;За земеделски труд и отдих (съгласно § 4 от ПЗР на ЗСПЗЗ)
D 1620;За почивен лагер
D 1630;За туристическа база, хижа
D 1640;За санаториум, балнеосанаториум, профилакториум
D 1650;За курортен хотел, почивен дом
D 1660;За къмпинг, мотел
D 1670;Незастроен имот за курортно-рекреационен обект
D 1680;За друг курортно-рекреационен обект
D 1685;Застроен имот в земеделска територия
D 1690;Застроен имот в горска територия
D 1700;За електроенергийното производство
D 1710;За топлоенергийното производство
D 1720;За друго производство на продукти от нефт, въглища, газ, шисти
D 1730;За черната и цветната металургия
D 1740;За машиностроителната и машинообработващата промишленост
D 1750;За химическата и каучуковата промишленост
D 1760;За дърводобивната и дървообработващата промишленост
D 1770;За целулозно-хартиената промишленост
D 1780;За производството на строителни материали, конструкции и изделия
D 1790;За производството на стъкло
D 1800;За текстилната промишленост
D 1810;За шивашката промишленост
D 1820;За кожарската, кожухарската и обувната промишленост
D 1830;За хранително-вкусовата промишленост
D 1840;За полиграфическата промишленост
D 1850;За складова база
D 1860;За база за селскостопанска или горскостопанска техника
D 1870;За ветеринарна лечебница
D 1880;За стопански двор
D 1890;За животновъден комплекс
D 1900;За животновъдна ферма
D 1910;Незастроен имот за производствен, складов обект
D 1920;За друг вид производствен, складов обект
D 1930;Незастроен имот
D 2000;За археологически паметник на културата
D 2010;За архитектурен паметник на културата
D 2020;За исторически паметник, историческо място
D 2030;За паметник на изобразителното и приложното изкуство
D 2040;За друг имот на културно-историческото наследство
D 2100;За първостепенна улица
D 2110;За второстепенна улица
D 2120;За алея
D 2130;За кръстовище
D 2140;За площад
D 2150;За паркинг
D 2160;За вход на пешеходен подлез, метро
D 2170;За линии на релсов транспорт
D 2180;За депо за релсов транспорт
D 2190;За автогараж
D 2200;За автомагистрала
D 2210;За път от републиканската пътна мрежа 
D 2220;За местен път
D 2230;За селскостопански, горски, ведомствен път
D 2240;За автогара, автоспирка
D 2250;За бензиностанция, газостанция, метанстанция
D 2260;За летище, аерогара
D 2270;За железопътна гара, спирка
D 2280;За ремонт и поддържане на транспортни средства
D 2290;За пристанище
D 2300;За въжена линия
D 2310;За друг поземлен имот за движение и транспорт
D 2400;За съоръжение на водопровод
D 2410;За съоръжение на канализация
D 2420;За съоръжение на електропровод
D 2430;За съоръжение на нефтопровод
D 2440;За съоръжение на газопровод
D 2450;За съоръжение на топлофикационен провод
D 2460;За съоръжение на съобщителен провод
